track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,Mitski,1,2023,9,15,98,86.8,50.4,137773,30.8,13.5,9,15.8,-14.958,1,3.2099999999999995,113.95,4,0.121
I Remember Everything (feat. Kacey Musgraves),4KULAymBBJcPRpk1yO4dOG,Zach Bryan & Kacey Musgraves,2,2023,8,25,93,55.400000000000006,42.9,227196,45.3,0.0001999999999999,0,10.2,-7.746,1,4.590000000000001,77.639,4,0.155
Lovin On Me,4xhsWYTOGcal8zt0J161CU,Jack Harlow,1,2023,11,10,95,0.26,94.3,138411,55.8,0.000219,2,9.37,-4.911,1,5.680000000000001,104.983,4,0.606
greedy,3rUGC1vUpkDG9CZFHMur1t,Tate McRae,1,2023,9,15,100,25.6,75.0,131872,73.3,0.0,6,11.4,-3.18,0,3.19,111.018,1,0.844
IDGAF (feat. Yeat),2YSzYUF3jWqb9YP9VXmpjE,Drake & Yeat,2,2023,10,6,93,4.64,66.3,260111,67.0,0.00892,8,20.5,-8.399,1,27.1,136.952,4,0.138
Is It Over Now? (Taylor's Version) (From The Vault),1Iq8oo9XkmmvCQiGOfORiz,Taylor Swift,1,2023,10,26,94,5.04,59.6,229478,65.8,0.0,0,12.7,-7.346,1,3.6,100.012,4,0.176
fukumean,4rXLjWdF2ZZpXCVTfWcshS,Gunna,1,2023,6,16,93,11.9,84.7,125040,62.2,0.0,1,28.5,-6.747,0,9.03,130.001,4,0.22
First Person Shooter (feat. J. Cole),7aqfrAY2p9BUSiupwk3svU,Drake & J. Cole,2,2023,10,6,91,2.77,47.0,247444,64.0,0.0,2,38.2,-7.779,1,32.0,163.92,4,0.248
MONACO,4MjDJD8cW7iVeWInc2Bdyj,Bad Bunny,1,2023,10,13,97,15.0,78.7,267194,62.1,0.0402,4,57.99999999999999,-5.009,0,6.800000000000001,139.056,4,0.13
Agora Hills,7dJYggqjKo71KI9sLzqCs8,Doja Cat,1,2023,9,22,93,22.8,75.0,265360,67.4,0.00891,8,12.2,-6.128,0,9.7,123.026,4,0.392
I KNOW ?,6wsqVwoiVH2kde4k4KKAFU,Travis Scott,1,2023,7,28,91,1.86,92.7,211582,61.9,0.0,5,10.4,-4.441,0,5.390000000000001,117.995,4,0.817
Paint The Town Red,2IGMVunIBsBLtEQyoI1Mu7,Doja Cat,1,2023,8,4,95,26.9,86.8,231750,53.8,0.000334,5,9.01,-8.603,1,17.4,99.968,4,0.732
vampire,1kuGVB7EU95pJObxwvfwKS,Olivia Rodrigo,1,2023,9,8,94,17.7,51.1,219724,53.2,0.0,5,29.1,-5.745,1,5.779999999999999,138.005,4,0.35
Now That We Don't Talk (Taylor's Version) (From The Vault),5KD6AEm19QnMbfWpfoOHMl,Taylor Swift,1,2023,10,26,91,18.6,79.3,146437,51.2,0.0038099999999999,0,8.89,-9.319,1,3.38,109.994,4,0.0662
You’re Losing Me (From The Vault),3CWq0pAKKTWb0K4yiglDc4,Taylor Swift,1,2023,11,29,90,52.900000000000006,74.7,277832,39.1,0.3,0,11.1,-13.767,1,5.2,102.984,4,0.195
Standing Next to You,2KslE17cAJNHTsI2MI0jb2,Jung Kook,1,2023,11,3,98,4.47,71.1,206020,80.9,0.0,2,33.900000000000006,-4.389,0,9.55,106.017,4,0.816
Strangers,5mjYQaktjmjcMKcUIcqz4s,Kenya Grace,1,2023,9,1,97,70.1,62.8,172965,52.3,0.2739999999999999,11,21.9,-8.307,0,9.46,169.982,4,0.416
Thinkin’ Bout Me,0PAcdVzhPO4gq1Iym9ESnK,Morgan Wallen,1,2023,3,3,86,49.2,65.60000000000001,177388,75.7,0.0,3,11.7,-5.775,0,3.08,139.971,4,0.429
Water,5aIVCx5tnk0ntmdiinnYvw,Tyla,1,2023,7,28,95,8.559999999999999,67.30000000000001,200256,72.2,0.0,3,13.7,-3.495,0,7.55,117.187,4,0.519
Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,Luke Combs,1,2023,3,24,88,18.6,71.2,265493,60.3,0.0,8,11.5,-5.52,1,2.62,97.994,4,0.67
LADY GAGA,7mXuWTczZNxG5EDcjFEuJR,Peso Pluma & Gabito Ballesteros & Junior H,3,2023,6,29,93,21.6,64.60000000000001,212878,73.6,0.0,5,41.5,-7.118,0,4.49,140.098,3,0.873
HARLEY QUINN,6CvTEtGagmzQvkUzzyKR9k,Fuerza Regida & Marshmello,2,2023,10,20,94,2.77,81.5,143327,74.1,1.83,1,21.9,-6.04,1,5.69,125.031,4,0.591
"What Was I Made For? [From The Motion Picture ""Barbie""]",6wf7Yu7cxBSPrRlWeSeK0Q,Billie Eilish,1,2023,7,13,94,95.9,44.4,222370,9.11,0.0001049999999999,0,9.8,-17.665,1,3.0700000000000003,78.403,4,0.142
Rich Baby Daddy (feat. Sexyy Red & SZA),1yeB8MUNeLo9Ek1UEpsyz6,Drake & Sexyy Red & SZA,3,2023,10,6,88,3.77,64.5,319192,72.89999999999999,0.0,2,38.4,-4.56,1,5.28,146.01,4,0.142
bad idea right?,3IX0yuEVvDbnqUwMBB3ouC,Olivia Rodrigo,1,2023,9,8,90,0.193,62.7,184784,87.9,0.000687,9,6.47,-3.446,1,9.55,129.979,4,0.748
Hey Driver (feat. The War and Treaty),4pCbJC43j3gSqG6Fen6upD,Zach Bryan & The War and Treaty,2,2023,8,25,85,49.4,58.3,227467,35.099999999999994,0.0,0,36.8,-5.836,1,3.06,79.014,4,0.462
PERRO NEGRO,7iQXYTyuG13aoeHxGG28Nh,Bad Bunny & Feid,2,2023,10,13,97,8.870000000000001,91.1,162768,77.8,0.00216,5,17.9,-2.248,1,26.200000000000003,96.057,4,0.345
"""Slut!"" (Taylor's Version) (From The Vault)",71BqAINEnezjQfxE4VuJfq,Taylor Swift,1,2023,10,26,90,34.5,62.9,180381,41.3,0.0076199999999999,7,6.03,-13.178,1,5.5,77.983,4,0.306
